ꢂꢯꢬꢷꢬꢶ,अशरीरि,அஶரீரி,celestial voice/ oracle,அசரீரி  
ꢒꢾꢥ꣄ꢫꢵꢱ꣄ꢡꢶꢬꢷ,क॑न्या स्तिरी,கென்யாஸ்திரீ,nun,கன்னியாஸ்திரி  
ꢒꢵꢠꢶꢒ꣄ꢒꢿ,काणिक्क॑,காணிக்கெ,cash/ material offerings to God,காணிக்கை  
ꢒꢵꢮꢶꢮꢱ꣄ꢡꢬ꣄,काविवस्तर्,காவிவஸ்தர்,saffron dress,காவியுடை  
ꢒꢶꢬꢸꢱ꣄ꢡꢸ ꢪꢵꢬ꣄ꢔꢸ,किरुस्तु मार्गु,கிருஸ்து மார்கு3,Christianity,கிறித்துவம்  
ꢒꢷꢬ꣄ꢡ꣄ꢡꢥꢵꢥ꣄,कीर्त्तनान्,கீர்தனான்,hymns,கீர்த்தனைகள்
ꢒꢸꢭꢣꢿꢮ꣄,कुलदेव्,குலதே3வ்,family God,குடும்ப தெய்வம்    
ꢣꢸꢮꣁ,दुवा॑,தி3வொ,a kind of pedestsl lamp,குத்துவிளக்கு  
ꢔꢸꢬꢸ,गुरु,கு3ரு,religious teacher,குரு  
ꢤ꣄ꢮꢙ ꢱ꣄ꢢꢪ꣄ꢨꢸ,ध्वज स्थम्बु,த்4வஜஸ்த2ம்பு3,flagpost,கொடிமரம்  
ꢣꢵꢥ꣄,दान,தா3ன்,donation,கொடை  
ꢤꢮ꣄ꢬꣁ,धव्रा॑,த4வ்ரொ,temple,கோயில்  
ꢪꢥ꣄ꢣꢶꢬ꣄,मन्दिर,மந்தி3ர்,temple,கோயில்  
ꢯꢒ꣄ꢡꢶ,शक्ति,ஶக்தி, Goddess,சக்தி  
ꢱꢶꢬ꣄ꢒꢥ꣄,सिर्कन,ஸிர்கன்,sandal paste,சந்தனம்  
ꢯ꣄꣄ꢬꢶꢔꢥ꣄ꢤꢸ,श्रिगन्धु,ஸ்ரீக3ந்து4,sandal paste,சந்தனம்  
ꢱꢥ꣄ꢫꢵꢱ꣄,सन्यास्,ஸந்யாஸ்,asceticism,சந்நியாசம்  
ꢱꢥ꣄ꢫꢵꢱꢶ,सन्यासि,ஸந்யாஸி,ascetic (m),சந்நியாசி  
ꢱꢥ꣄ꢫꢵꢱꢶꢥꢶ,सन्यासिनि,ஸந்யாஸினி,ascetic (f),சந்தியாசினி  
ꢱꢪꢠ ꢪꢵꢬ꣄ꢔꢸ,समण मार्गु,ஸமண மார்கு3,Jainism,சமணம்  
ꢮꢵꢜ꣄,वाट्,வாட்,religion,சமயம்  
ꢤꢾꢬꢸꢪ꣄,धेरुम,தெ4ரும்,religion,சமயம்  
ꢤꢬ꣄ꢪꢸ,धर्मु,த4ர்மு,religion,சமயம்  
ꢱꢵꢣꢸ,सादु,ஸாது4,saint,சாது  
ꢣꢿꢮ꣄,देव्,தே3வ்,God,சாமி  
ꢱꢵꢨꢥꣁ,साबना॑,ஸாப3னொ,curse,சாபம்  
ꢂꢩꢶꢱꢵꢦ꣄,अभिसाप्,அபி4ஸாப்,curse,சாபம்  
ꢱꢶꢡ꣄ꢡꢬ꣄,सित्तर्,சித்தர்,saiva saint,சித்தர்  
ꢱꢶꢭꢸꢮꣁ,सिलुवा॑,ஸிலுவொ,cross,சிலுவை  
ꢱꢶꢭꣁ,सिला॑,ஸிலொ,statue,சிலை  
ꢱꢶꢭ꣄ꢨꣁ,सिल्पा॑,ஸில்பொ,statue,சிலை  
ꢯꢶꢶꢮꣁ,शिवा॑,ஶிவொ,Lord Shiva,சிவம்  
ꢅꢯ꣄ꢦꢸꢬꢸ,ईश्पुरु,ஈஶ்புரு,Lord Shiva,சிவம்  
ꢥꢴꢥ꣄ ꢣꢿꢮ꣄,न्हनदेव्,ந:ன்தே3வ்,local deity,சிறுதெய்வம்  
ꢔꢵꢪꢸ ꢣꢿꢮ꣄,गमुदेव्,கா3முதே3வ்,local deity,சிறுதெய்வம்  
ꢱꢶꢰ꣄ꢫꢵꢥ꣄,सिष्यान,ஸிஷ்யான்,followers,சீடர்  
ꢪꣁꢱ꣄ꢫꢵꢥ꣄,मा॑स्यान,மொஸ்யான்,crematorium,சுடுகாடு  
ꢬꢸꢣ꣄ꢬꢦꢹꢪꢶ,रुग्रपूमि,ருத்3ரபூமி,crematorium,சுடுகாடு  
ꢣꢿꢮ꣄,देव्,தே3வ்,God,சுவாமி  
ꢱꢸꢮꢡ꣄ꢡꢵꢥ꣄,सुवत्तान,ஸுவத்தான்,gospels,சுவிசேஷங்கள்
ꢱꢸꢱꢥ꣄ꢣꢾꢱꢸꢥ꣄,सुसन्देसुन,ஸுஸந்தே3ஸுன்,gospels,சுவிசேஷங்கள்
ꢱꣀꢮꢪ꣄,सैवम्,ஸைவம்,Saivism,சைவம்  
ꢱ꣄ꢮꢬ꣄ꢔꢸ,सवर्गु,ஸ்வர்கு3,heaven,சொர்க்கம்  
ꢛꢵꢥ ꢱ꣄ꢥꢵꢥ꣄,ञान स्नान्,ஞானஸ்நான்,baptism,ஞானஸ்நானம்  
ꢡꢦꢱ꣄,तपस्,தபஸ்,penance,தபசு  
ꢦꣁꢳ꣄ꢳꢶ ꢮꢵꢱꢭ꣄,पोळ्ळिवासल,பொள்ளி வாஸல்,darga,தர்க்கா  
ꢤꢬ꣄ꢪꢒꢬ꣄ꢡꣁ,धर्मकर्ता॑,த4ர்மகர்தொ,trustee,தருமகர்த்தா  
ꢥ꣄ꢫꢵꢱꢶ,न्यासि,ந்யாஸி,trustee,தருமகர்த்தா  
ꢡꢦꢱ꣄,तपस्,தபஸ்,penance,தவம்  
ꢤ꣄ꢫꢵꢥ꣄,ध्यान्,த்4யான்,meditation,தியானம்  
ꢣꢮ꣄ꢬꣁ,दव्रा॑,த4வ்ரொ,temple,திருக்கோயில்  
ꢱꢸꢦ꣄ꢬꢩꢵꢡꢸꢪ꣄ ꢣꢾꢮꢸꢒ꣄ ꢲꢸꢞꢞ꣄ꢥꢶ,सुप्रभातुम देवुक हुडड्नि,ஸுப்ரபா4தும் தே3வுக் ஹுட3ட்3னி,ceremony to awaken God,திருப்பள்ளி எழுச்சி   
ꢯ꣄꣄ꢬꢷ ꢦꢵꢣꢪ꣄,श्रि पादम्,ஸ்ரீபாத3ம்,sacred feet,திருவடி  
ꢱꢪꢵꢬꢵꢤꢥꣁ,समाराधना॑,ஸமாராத4னொ,Holy feast,திருவிருந்து  
ꢣꢱꢭ꣄,दसल,த3ஸல்,Holy feast,திருவிருந்து  
ꢤꢮ꣄ꢬꢵ ꢆꢡ꣄ꢱꢮꢸ,धव्रा उत्सवु,த4வ்ரா உத்ஸவு,temple festival,திருவிழா  
ꢣꢷꢦꢵꢬꢵꢡꢥꣁ,दीपारातनो,தீ3பராத4னொ,worship with lamp,தீபாராதனை  
ꢣꢷꢬ꣄ꢔꢣꢬ꣄ꢱꢶ,दीर्गदर्सि,தீ3ர்க4த3ர்ஸி,prophet,தீர்க்கதரிசி  
ꢡꢷꢬ꣄ꢢꢸ,दीर्थु,தீர்து2,holy water,தீர்த்தம்  
ꢦ꣄ꢬꢱꢵꢣ꣄,प्रसाद,ப்ரஸாத்3,Food offering ,நைவேத்தியம்
ꢅꢯꣁ,ईशो जीव बन्धम,ஈஶொ,"God, man, bondage","பதி, பசு, பாசம்    "
ꢙꢷꢮ꣄,ईशो जीव बन्धम,ஜீவ்,"God, man, bondage","பதி, பசு, பாசம்    "
ꢨꢥ꣄ꢤꢪ꣄,ईशो जीव बन्धम,ப3ந்த4ம்,"God, man, bondage","பதி, பசு, பாசம்    "
ꢦꢬꢪꢵꢡ꣄ꢪꣁ,परमात्मा॑,பரமாத்மொ,Over soul,பரம்பொருள்  
ꢪꢾꢞꢵꢡ꣄ꢪꣁ,मेडात्मा॑,மேடா3த்மொ,Over soul,பரம்பொருள்  
ꢦꢸꢠ꣄ꢫꢵꢡ꣄ꢪꣁ,पुण्यात्मा॑,புண்யாத்மொ,holy spirit,பரிசுத்த ஆவி   
ꢣꢠ꣄ꢞꢶ,दण्डि,த3ண்டி3,palanquin,பல்லக்கு  
ꢨꣁꢭꢶ,बा॑लि,பொ3லி,religious sacrifice,பலி  
ꢨꣁꢭꢶꢦꢷꢟ꣄,बा॑लिबीठ,பொ3லிபீட்2,place for sacrifice/ altar,பலிபீடம்  
ꢦꣁꢳ꣄ꢳꢶ,पोळ्ळि,பொள்ளி,mosque,பள்ளி  
ꢦꢵꢦ꣄,पाप्,பாப்,sin,பாபம்  
ꢦꢵꢦꢶ,पापि,பாபி,sinner,பாவி  
ꢦ꣄ꢬꢒꢵꢬ꣄,प्रकार,ப்ரகார்,corridor of a temple,பிரகாரம்  
ꢦ꣄ꢬꢗꢵꢬꢒ꣄,प्रचारक,ப்ரசாரக்,Catechist/ evangelist,பிரசங்கி /பிரசாரம் செய்பவர்
ꢦ꣄ꢬꢵꢡ꣄ꢡꢥꣁ,प्रात्तना॑,ப்ராத்தனொ,prayer,பிரார்த்தனை  
ꢆꢙ꣄ꢮꢵꢮ꣄,उज्वाव,உஜ்வாவ்,birth,பிறவி  
ꢃꢱꢥꣁ,आसना॑,ஆஸனொ,"altar, seat",பீடம்  
ꢦꢸꢠ꣄ꢠꢸ,पुण्णु,புண்ணு,results of virtuous deeds,புண்ணியம்  
ꢦꢸꢙꢬꢶ,पुजरि,புஜரி,temple priest,பூசாரி  
ꢦꢸꢙꣁ,पुजा॑,புஜொ,worship,பூசை  
ꢨꢶꢱꢨ꣄,बिसब्,பி3ஸப்3,Bishop,பேராயர்  
ꢪꢲꢵꢬꢱꢥꣁ,महारसना॑,மஹாரஸனொ,bliss,பேரின்பம்  
ꢱꢶꢒ꣄ꢒꢞ꣄ꢠꢵꢬ꣄,सिक्कड्णार,ஸிக்கட்3ணார்,pastor,போதகர்  
ꢨꢸꢣ꣄ꢤ ꢪꢵꢬ꣄ꢔꢸ,बुद्ध मार्गु,பு3த்3த4 மார்கு3,Budhism,பெளத்தம்  
ꢪꢲꢵꢥ꣄,महान्,மஹான்,great person,மகான்  
ꢪꢝ,मठ,மட்2,monastery,மடம்  
ꢪꢴꣁꢞꢪ꣄,म्हा॑डम,மொ:ட3ம்,monastery,மடம்  
ꢕꢾꢠ꣄ꢜꣁ,घ॑ण्टा॑,கெ4ண்டொ,bell,மணி  
ꢪꣁꢥ꣄ꢡꢸꢬ꣄,मा॑न्तुर,மொந்துர்,sacred words,மந்திரம்  
ꢣꢷ ꢒ꣄ꢰꣁ ꢓꢳ꣄ꢳꢥ꣄ ꢮꢾꢳ꣄꣄ ꢔꢸꢬꢸ ꢱꢖ꣄ꢔꢱ꣄ꢡꢾ ꢪꣁꢥ꣄ꢡꢸꢬ꣄,दीक्षो खळ्ळन वेळ गुरु सङ्गस्त॑ मा॑न्तु,தீ3 க்ஷொக2ள்ளன் வேள் கு3ரு ஸங்க3ஸ்தெ மொந்துர்,sacred words,மந்திரம்  
ꢮꢿꢣ꣄,वेद्,வேத்3,veda,மறை  
ꢪꢥꢱꢵꢒ꣄ꢰꢶ,मनसाक्षि,மனஸாக்ஷி,conscience,மனசாட்சி  
ꢣ꣄ꢬꢵꢮꢶꢞ ꢔ꣄ꢬꢵꢪ꣄ꢫ ꢣꢾꢮ꣄ꢡꣁ,द्राविड ग्राम्य देव्ता॑,த்3ராவிட3 க்3ராம்ய தே3வ்தொ,a Dravidian folk deity (m),மாடன்  
ꢪꢾꢬꢶ ꢕꢾꢬ꣄,मेरि घेर,மேரி கே4ர்,church,மாதாகோயில்  
ꢪꢵꢫꣁ,माया॑,மாயொ,illusion,மாயை  
ꢪꢵꢬꢶꢫꢪ꣄ꢪꣁ,मारियम्मा॑,மாரியம்மொ,a Dravidian folk deity (f),மாரியம்மன்  
ꢱꢵꢪꢶꢫꢵꢬꢸꢥ꣄,सामियारुन्,ஸாமியாருன்,saints,மெய்யடியார்
ꢪꣂꢒ꣄ꢯꢶ,मोक्षि,மோக்ஷி,salvation,மோட்சம்  
ꢪꢸꢒ꣄ꢡꢶ,मुक्ति,முக்தி,salvation,மோட்சம்  
ꢬꢾꢡ꣄ꢡꢸ,र॑त्तु,ரெத்து,chariot (temple),ரதம்  
ꢥꢪꢱ꣄ꢒꢵꢬ꣄,नमस्कार्,நமஸ்கார்,greeting,வணக்கம்  
ꢥꢪꢥꣁ,नमना॑,நமனொ,worship,வழிபாடு  
ꢥꣂꢪ꣄,नोम,நோம்,worship,வழிபாடு  
ꢮꢶꢔ꣄ꢬꢲꢪ꣄,विग्रहम्,விக்3ரஹம்,idol,விக்ரகம்  
ꢦꢵꢦꢮꢶꢪꣂꢗꢥꣁ,पापविमोचना॑,பாபவிமோசனொ,expiation,விமோசனம்  
ꢮꣁꢔꢡ꣄,वा॑गत्,வொக3த்,"fast, vow",விரதம்  
ꢮꢿꢣ꣄,वेद,வேத்3,Veda,வேதம்  
ꢮꣀꢰ꣄ꢠꢮꢪ꣄,वैष्णवम,வைஷ்ணவம்,Vaishnavism,வைணவம்  
ꢮꣀꢩꢮ꣄,वैभव्,வைப4வ்,function,வைபவம்  
ꢙꢾꢦꢪ꣄,ज॑पम्,ஜெபம்,prayer,ஜபம்  
ꢙꢾꢦꢪ꣄,ज॑पम्,ஜெபம்,Christian (prayer),ஜெபம்  
ꢙꢾꢭꢸꢪ꣄,ज॑लुम्,ஜெலும்,birth,ஜென்மம்  
ꢲꢵꢙꢶ,हाजि,ஹாஜி,Muslim pilgrimage who has visited Mecca,ஹாஜி  
ꢲꢙ꣄ꢙꢸ ꢫꢵꢡ꣄ꢬꣁ ꢒꢾꢬꢾꢱ꣄ꢡꢾꢥꣁ,हज्जु यात्रा॑ क॑र॑स्त॑ना॑,ஹஜ்ஜு யாத்ரொ கெரெஸ்தெனொ,Muslim pilgrimage who has visited Mecca,ஹாஜி  
